Oyuncu,Mac,Gol,Asist,Yas,Dakika,xG,Gol/90,Asist/90,Sut/90,Isabetli_Sut/90,Gol/Sut_Orani
Enes Ünal,329.0,88.0,23.0,0.0,18546.0,57.3,0.43,0.11,2.13,1.01,0.16
Ollie Watkins,398.0,144.0,54.0,0.0,32264.0,111.0,0.4,0.15,2.42,1.09,0.16
Tom Cairney,469.0,53.0,54.0,0.0,31051.0,10.0,0.15,0.16,1.03,0.57,0.16
Danny Welbeck,385.0,86.0,32.0,0.0,22266.0,53.2,0.35,0.13,2.44,1.09,0.14
Estêvão Willian,56.0,14.0,13.0,0.0,3388.0,13.7,0.37,0.35,3.08,1.09,0.09
Joe Gomez,177.0,0.0,6.0,0.0,11803.0,2.1,0.0,0.05,0.38,0.08,0.0
Harry Maguire,448.0,25.0,16.0,0.0,36943.0,16.0,0.06,0.04,0.93,0.26,0.07
Florian Wirtz,154.0,35.0,45.0,0.0,11175.0,30.8,0.28,0.36,1.92,0.86,0.13
Yoane Wissa,292.0,90.0,27.0,0.0,18872.0,50.0,0.43,0.13,1.8,1.0,0.23
Nick Pope,324.0,0.0,0.0,0.0,28901.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,349.0,55.0,58.0,0.0,23201.0,15.1,0.21,0.22,2.15,0.78,0.06
Joshua Acheampong,10.0,1.0,0.0,0.0,525.0,0.8,0.17,0.0,0.86,0.34,0.2
